date_kst,rank,brand,product_name,price_current_usd,price_original_usd,discount_rate_pct,has_value_price,product_url,image_url
2025-08-14,1,,Beauty of Joseon,30.0,25.99,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA220615265,https://cdn-image.oliveyoung.com/prdtImg/1440/7c4a5432-f0d0-4183-ba2a-25a47cf78c8b.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,2,,Beauty of Joseon,30.0,25.99,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA220615265,
2025-08-14,3,,ROUND LAB,52.0,48.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250430113,https://cdn-image.oliveyoung.com/prdtImg/1523/c7f7894b-8351-4411-8cb9-fc2226079c18.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,4,,ROUND LAB,52.0,48.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250430113,
2025-08-14,5,,VT,67.0,37.68,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530893,https://cdn-image.oliveyoung.com/prdtImg/1120/ff8d7b07-bbc8-4009-9d9d-399dc9fc62bd.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,6,,VT,67.0,37.68,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530893,
2025-08-14,7,,SKIN1004,28.0,,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230518746,https://cdn-image.oliveyoung.com/prdtImg/1595/6290bfe2-63de-4724-9e18-b27eb424964e.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,8,,SKIN1004,28.0,,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230518746,
2025-08-14,9,,Dr.G,54.0,86.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GS250832666,https://cdn-image.oliveyoung.com/prdtImg/1653/36023bc1-296b-4653-9e45-668c3ed5c82b.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,10,,Dr.G,54.0,86.0,,False,https://global.oliveyoung.com/product/detail?prdtNo=GS250832666,
2025-08-14,11,,Beauty of Joseon,30.0,25.99,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241227407,https://cdn-image.oliveyoung.com/prdtImg/1052/a4d9267d-4fd9-45a6-b289-0c2b07068932.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,12,,Beauty of Joseon,30.0,25.99,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241227407,
2025-08-14,13,,MEDIHEAL,44.0,31.86,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA220815950,https://cdn-image.oliveyoung.com/prdtImg/1151/8d657f4e-dd05-408d-bd5e-9cd5658676a5.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,14,,MEDIHEAL,44.0,31.86,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA220815950,
2025-08-14,15,,beplain,31.0,28.49,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250329175,https://cdn-image.oliveyoung.com/prdtImg/1539/8ee42d95-fc77-44f7-9006-e6fa2ce6de53.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,16,,beplain,31.0,28.49,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250329175,
2025-08-14,17,,medicube,61.0,34.34,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530656,https://cdn-image.oliveyoung.com/prdtImg/1614/d8516913-407f-432e-a12b-a93af162d334.png?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,18,,medicube,61.0,34.34,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250530656,
2025-08-14,19,,goodal,50.0,34.76,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732235,https://cdn-image.oliveyoung.com/prdtImg/1101/f5406951-a4b2-407c-a682-b038d71138bc.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,20,,goodal,50.0,34.76,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732235,
2025-08-14,21,,AESTURA,44.0,,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA240121573,https://cdn-image.oliveyoung.com/prdtImg/1048/80ed7799-c56a-4351-a814-16097ad1a702.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,22,,AESTURA,44.0,,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA240121573,
2025-08-14,23,,Anua,30.0,18.75,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241126972,https://cdn-image.oliveyoung.com/prdtImg/1321/03cea2ce-9006-43de-b0cd-7be6499ff073.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,24,,Anua,30.0,18.75,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA241126972,
2025-08-14,25,,FOODOLOGY,28.0,22.02,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230418329,https://cdn-image.oliveyoung.com/prdtImg/1053/52bbea20-89e2-466d-b5bb-7ddca3ae4b22.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,26,,FOODOLOGY,28.0,22.02,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230418329,
2025-08-14,27,,numbuzin,42.0,28.39,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230820183,https://cdn-image.oliveyoung.com/prdtImg/1983/c0f0de32-2711-4294-80bd-21a89fe0d5cb.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,28,,numbuzin,42.0,28.39,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA230820183,
2025-08-14,29,,REJURAN,58.0,,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250329130,https://cdn-image.oliveyoung.com/prdtImg/1909/5128f67e-515a-4f38-903b-1e2bd081f2ca.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,30,,REJURAN,58.0,,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250329130,
2025-08-14,31,,Torriden,42.0,31.5,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732129,https://cdn-image.oliveyoung.com/prdtImg/1260/6b9a638e-1109-4230-844f-7a8d550aac31.jpg?RS=1000x1000&AR=0&SF=webp&QT=80
2025-08-14,32,,Torriden,42.0,31.5,,False,https://global.oliveyoung.com/product/detail?prdtNo=GA250732129,
