rank,brand,name,original_price,sale_price,discount_pct,url,raw_name
14,+Keyring,Torriden Dive-In Serum 50ml Refill Set (+Keyring) (Ganadi Collaboration),42.0,42.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250732129,Torriden Dive-In Serum 50ml Refill Set (+Keyring) (Ganadi Collaboration)
15,REJURAN,REJURAN Healer Turnover Ampoule Dual Effect 10ml Double Pack (+5ml+1ml*3),58.0,58.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250329130,REJURAN Healer Turnover Ampoule Dual Effect 10ml Double Pack (+5ml+1ml*3)
16,Ryo,Ryo Root:Gen Hair Loss Care Scalp Essence 80mL Double Set,46.0,46.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA231221447,Ryo Root:Gen Hair Loss Care Scalp Essence 80mL Double Set
17,SKIN1004,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 100mL,26.0,26.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA240724745,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 100mL
18,+2 Sticks,FOODOLOGY Coleology Cutting Jelly 10 Sticks (+2 Sticks) (12-day supply),28.0,28.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA230418329,FOODOLOGY Coleology Cutting Jelly 10 Sticks (+2 Sticks) (12-day supply)
19,Dr.G,Dr.G Red Blemish Clear Soothing Cream 70ml 1+1 Set (+Tube 70ml+Serum 10ml+Gel Mask Sheet 1ea+Spot Deco Patch),44.0,44.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250531055,Dr.G Red Blemish Clear Soothing Cream 70ml 1+1 Set (+Tube 70ml+Serum 10ml+Gel Mask Sheet 1ea+Spot Deco Patch)
20,Torriden,Torriden Dive-In Low Molecule Hyaluronic Acid Mask Sheet 10ea,35.0,35.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA211012131,Torriden Dive-In Low Molecule Hyaluronic Acid Mask Sheet 10ea
21,LACTO-FIT,LACTO-FIT Probiotics Gold Family Pack 130 Sticks (130-day supply),49.0,49.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250631353,LACTO-FIT Probiotics Gold Family Pack 130 Sticks (130-day supply)
22,,[Duo Set] numbuzin No. 1 Clear Filter Sun Essence SPF50+ PA++++ 50mL + 50mL Duo Set,27.0,27.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA230518528,[Duo Set] numbuzin No. 1 Clear Filter Sun Essence SPF50+ PA++++ 50mL + 50mL Duo Set
23,Cherry Blossom/Tender Bloom,[Spring EDITION] UNOVE Deep Damage Treatment EX 320ml Duo Set (Cherry Blossom/Tender Bloom),49.0,49.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250228730,[Spring EDITION] UNOVE Deep Damage Treatment EX 320ml Duo Set (Cherry Blossom/Tender Bloom)
24,MEDIHEAL,MEDIHEAL Madecassoside Essential Mask Sheet Blemish Repair 10ea Set (+1ea) (OY-Exclusive),27.0,27.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA240824996,MEDIHEAL Madecassoside Essential Mask Sheet Blemish Repair 10ea Set (+1ea) (OY-Exclusive)
25,Dr.G,Dr.G Red Blemish Clear Soothing Cream & Blemish Soothing Cream Duo Set,80.0,44.0,45.0,https://global.oliveyoung.com/product/detail?prdtNo=GS250732273,Dr.G Red Blemish Clear Soothing Cream & Blemish Soothing Cream Duo Set
26,d'Alba,d'Alba White Truffle First Spray Serum 100mL Double Pack,70.0,70.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA221016470,d'Alba White Truffle First Spray Serum 100mL Double Pack
